,oracion,gold,error
1970,las hombres miran a los mujer,no,No tree
1971,las hombres miran a los mujeres,no,No tree
1972,las hombres miran a la hombre,no,No tree
1973,las hombres miran a la hombres,no,No tree
1974,las hombres miran a la mujer,no,No tree
1975,las hombres miran a la mujeres,no,No tree
1976,las hombres miran a las hombre,no,No tree
1977,las hombres miran a las hombres,no,No tree
1978,las hombres miran a las mujer,no,No tree
1979,las hombres miran a las mujeres,no,No tree
1980,las mujer camina,no,No tree
1981,las mujer caminan,no,No tree
1982,las mujer mira a un hombre,no,No tree
1983,las mujer mira a un hombres,no,No tree
1984,las mujer mira a un mujer,no,No tree
1985,las mujer mira a un mujeres,no,No tree
1986,las mujer mira a unos hombre,no,No tree
1987,las mujer mira a unos hombres,no,No tree
1988,las mujer mira a unos mujer,no,No tree
1989,las mujer mira a unos mujeres,no,No tree
1990,las mujer mira a una hombre,no,No tree
1991,las mujer mira a una hombres,no,No tree
1992,las mujer mira a una mujer,no,No tree
1993,las mujer mira a una mujeres,no,No tree
1994,las mujer mira a unas hombre,no,No tree
1995,las mujer mira a unas hombres,no,No tree
1996,las mujer mira a unas mujer,no,No tree
1997,las mujer mira a unas mujeres,no,No tree
1998,las mujer mira a el hombre,no,No tree
1999,las mujer mira a el hombres,no,No tree
2000,las mujer mira a el mujer,no,No tree
2001,las mujer mira a el mujeres,no,No tree
2002,las mujer mira a los hombre,no,No tree
2003,las mujer mira a los hombres,no,No tree
2004,las mujer mira a los mujer,no,No tree
2005,las mujer mira a los mujeres,no,No tree
2006,las mujer mira a la hombre,no,No tree
2007,las mujer mira a la hombres,no,No tree
2008,las mujer mira a la mujer,no,No tree
2009,las mujer mira a la mujeres,no,No tree
2010,las mujer mira a las hombre,no,No tree
2011,las mujer mira a las hombres,no,No tree
2012,las mujer mira a las mujer,no,No tree
2013,las mujer mira a las mujeres,no,No tree
2014,las mujer miran a un hombre,no,No tree
2015,las mujer miran a un hombres,no,No tree
2016,las mujer miran a un mujer,no,No tree
2017,las mujer miran a un mujeres,no,No tree
2018,las mujer miran a unos hombre,no,No tree
2019,las mujer miran a unos hombres,no,No tree
2020,las mujer miran a unos mujer,no,No tree
2021,las mujer miran a unos mujeres,no,No tree
2022,las mujer miran a una hombre,no,No tree
2023,las mujer miran a una hombres,no,No tree
2024,las mujer miran a una mujer,no,No tree
2025,las mujer miran a una mujeres,no,No tree
2026,las mujer miran a unas hombre,no,No tree
2027,las mujer miran a unas hombres,no,No tree
2028,las mujer miran a unas mujer,no,No tree
2029,las mujer miran a unas mujeres,no,No tree
2030,las mujer miran a el hombre,no,No tree
2031,las mujer miran a el hombres,no,No tree
2032,las mujer miran a el mujer,no,No tree
2033,las mujer miran a el mujeres,no,No tree
2034,las mujer miran a los hombre,no,No tree
2035,las mujer miran a los hombres,no,No tree
2036,las mujer miran a los mujer,no,No tree
2037,las mujer miran a los mujeres,no,No tree
2038,las mujer miran a la hombre,no,No tree
2039,las mujer miran a la hombres,no,No tree
2040,las mujer miran a la mujer,no,No tree
2041,las mujer miran a la mujeres,no,No tree
2042,las mujer miran a las hombre,no,No tree
2043,las mujer miran a las hombres,no,No tree
2044,las mujer miran a las mujer,no,No tree
2045,las mujer miran a las mujeres,no,No tree
2046,las mujeres camina,no,No tree
2047,las mujeres caminan,si,-
2048,las mujeres mira a un hombre,no,No tree
2049,las mujeres mira a un hombres,no,No tree
2050,las mujeres mira a un mujer,no,No tree
2051,las mujeres mira a un mujeres,no,No tree
2052,las mujeres mira a unos hombre,no,No tree
2053,las mujeres mira a unos hombres,no,No tree
2054,las mujeres mira a unos mujer,no,No tree
2055,las mujeres mira a unos mujeres,no,No tree
2056,las mujeres mira a una hombre,no,No tree
2057,las mujeres mira a una hombres,no,No tree
2058,las mujeres mira a una mujer,no,No tree
2059,las mujeres mira a una mujeres,no,No tree
2060,las mujeres mira a unas hombre,no,No tree
2061,las mujeres mira a unas hombres,no,No tree
2062,las mujeres mira a unas mujer,no,No tree
2063,las mujeres mira a unas mujeres,no,No tree
2064,las mujeres mira a el hombre,no,No tree
2065,las mujeres mira a el hombres,no,No tree
2066,las mujeres mira a el mujer,no,No tree
2067,las mujeres mira a el mujeres,no,No tree
2068,las mujeres mira a los hombre,no,No tree
2069,las mujeres mira a los hombres,no,No tree
2070,las mujeres mira a los mujer,no,No tree
2071,las mujeres mira a los mujeres,no,No tree
2072,las mujeres mira a la hombre,no,No tree
2073,las mujeres mira a la hombres,no,No tree
2074,las mujeres mira a la mujer,no,No tree
2075,las mujeres mira a la mujeres,no,No tree
2076,las mujeres mira a las hombre,no,No tree
2077,las mujeres mira a las hombres,no,No tree
2078,las mujeres mira a las mujer,no,No tree
2079,las mujeres mira a las mujeres,no,No tree
2080,las mujeres miran a un hombre,si,-
2081,las mujeres miran a un hombres,no,No tree
2082,las mujeres miran a un mujer,no,No tree
2083,las mujeres miran a un mujeres,no,No tree
2084,las mujeres miran a unos hombre,no,No tree
2085,las mujeres miran a unos hombres,si,-
2086,las mujeres miran a unos mujer,no,No tree
2087,las mujeres miran a unos mujeres,no,No tree
2088,las mujeres miran a una hombre,no,No tree
2089,las mujeres miran a una hombres,no,No tree
2090,las mujeres miran a una mujer,si,-
2091,las mujeres miran a una mujeres,no,No tree
2092,las mujeres miran a unas hombre,no,No tree
2093,las mujeres miran a unas hombres,no,No tree
2094,las mujeres miran a unas mujer,no,No tree
2095,las mujeres miran a unas mujeres,si,-
2096,las mujeres miran a el hombre,si,-
2097,las mujeres miran a el hombres,no,No tree
2098,las mujeres miran a el mujer,no,No tree
2099,las mujeres miran a el mujeres,no,No tree
2100,las mujeres miran a los hombre,no,No tree
2101,las mujeres miran a los hombres,si,-
2102,las mujeres miran a los mujer,no,No tree
2103,las mujeres miran a los mujeres,no,No tree
2104,las mujeres miran a la hombre,no,No tree
2105,las mujeres miran a la hombres,no,No tree
2106,las mujeres miran a la mujer,si,-
2107,las mujeres miran a la mujeres,no,No tree
2108,las mujeres miran a las hombre,no,No tree
2109,las mujeres miran a las hombres,no,No tree
2110,las mujeres miran a las mujer,no,No tree
2111,las mujeres miran a las mujeres,si,-
